"product_name","category","gender","occasion","Product_description"
"Charming sunglasses","accessories","men","date","Versatile Charming sunglasses"
"Amorous ring","jewelry","men","valentines day","Elegant Amorous ring"
"Passionate eau de toilette","perfumes","women","valentines day","Captivating Passionate eau de toilette"
"Lively analog","watches","men","party","Sleek Lively analog"
"Elegant eau de toilette","perfumes","women","wedding","Captivating Elegant eau de toilette"
"Heartfelt rose","flowers","women","mothers day","Romantic Heartfelt rose"
"Ceremonial necklace","jewelry","men","wedding","Timeless Ceremonial necklace"
"Loving rose","flowers","men","mothers day","Vibrant Loving rose"
"Cherished cologne","perfumes","men","mothers day","Alluring Cherished cologne"
"Elegant RC Car","toys","unisex","wedding","Educational Elegant RC Car"
"Elegant board game","toys","men","wedding","Engaging Elegant board game"
"Appreciative scarf","accessories","men","mothers day","Chic Appreciative scarf"
"Affectionate fragrance","perfumes","unisex","valentines day","Luxurious Affectionate fragrance"
"Amorous rose","flowers","women","valentines day","Romantic Amorous rose"
"Appreciative tulips","flowers","unisex","mothers day","Romantic Appreciative tulips"
"Celebratory bag","accessories","women","party","Trendy Celebratory bag"
"Cherished hat","accessories","women","mothers day","Trendy Cherished hat"
"Intimate earrings","jewelry","women","date","Sparkling Intimate earrings"
"Affectionate eau de toilette","perfumes","men","valentines day","Refreshing Affectionate eau de toilette"
"Loving action figure","toys","men","mothers day","Educational Loving action figure"
"Passionate rose","flowers","men","valentines day","Fragrant Passionate rose"
"Passionate digital","watches","men","valentines day","Functional Passionate digital"
"Passionate hat","accessories","unisex","valentines day","Trendy Passionate hat"
"Memorable cologne","perfumes","unisex","date","Refreshing Memorable cologne"
"Festive RC Car","toys","men","party","Entertaining Festive RC Car"
"Appreciative board game","toys","unisex","mothers day","Imaginative Appreciative board game"
"Amorous digital","watches","unisex","valentines day","Sleek Amorous digital"
"Romantic smartwatch","watches","men","wedding","Durable Romantic smartwatch"
"Romantic hat","accessories","women","wedding","Stylish Romantic hat"
"Bridal cologne","perfumes","women","wedding","Captivating Bridal cologne"
"Celebratory RC Car","toys","unisex","birthday","Imaginative Celebratory RC Car"
"Passionate bracelet","jewelry","men","valentines day","Elegant Passionate bracelet"
"Appreciative smartwatch","watches","men","mothers day","Sleek Appreciative smartwatch"
"Festive tulips","flowers","men","party","Fragrant Festive tulips"
"Cherished ring","jewelry","men","mothers day","Sophisticated Cherished ring"
"Passionate smartwatch","watches","men","valentines day","Precise Passionate smartwatch"
"Intimate tulips","flowers","unisex","date","Romantic Intimate tulips"
"Affectionate necklace","jewelry","women","valentines day","Sparkling Affectionate necklace"
"Joyous smartwatch","watches","men","birthday","Durable Joyous smartwatch"
"Loving digital","watches","unisex","mothers day","Precise Loving digital"
"Memorable earrings","jewelry","men","date","Timeless Memorable earrings"
"Elegant lilies","flowers","unisex","wedding","Vibrant Elegant lilies"
"Joyous cologne","perfumes","women","birthday","Luxurious Joyous cologne"
"Amorous analog","watches","men","valentines day","Functional Amorous analog"
"Amorous necklace","jewelry","women","valentines day","Timeless Amorous necklace"
"Joyous action figure","toys","men","birthday","Engaging Joyous action figure"
"Lively scarf","accessories","unisex","party","Stylish Lively scarf"
"Lively bag","accessories","men","party","Stylish Lively bag"
"Celebratory necklace","jewelry","women","birthday","Sophisticated Celebratory necklace"
"Affectionate RC Car","toys","men","valentines day","Imaginative Affectionate RC Car"